"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, -2.291667000000000e+01, -1.000000000000000e+01, 1.225967502449299e+00, 1.659932788882397e+02, 1.630564372521860e-02, 2.648360450120787e+05, 1.014393936511035e+05, 2.882425104880913e+02, 3.978173193058998e-01, 1.008015677130944e-02
1, -2.083333000000000e+01, -1.000000000000000e+01, 1.226029116923499e+00, 1.659631908288985e+02, 2.481847398947031e-02, 2.648493243989011e+05, 1.014465605605805e+05, 2.882483886957544e+02, 3.977211689787088e-01, 1.071169156713621e-02
2, -1.875000000000000e+01, -1.000000000000000e+01, 1.225984009128465e+00, 1.659458863028397e+02, 3.201351528231559e-02, 2.648348446724809e+05, 1.014415402519506e+05, 2.882447291202897e+02, 3.976968590909386e-01, 1.026931126419348e-02
3, -1.666667000000000e+01, -1.000000000000000e+01, 1.226031158120555e+00, 1.659366551095960e+02, 5.005994878251574e-02, 2.648461306511969e+05, 1.014467269348077e+05, 2.882483815281136e+02, 3.976569342057075e-01, 1.072635215604544e-02
4, -1.458333000000000e+01, -1.000000000000000e+01, 1.225884191811154e+00, 1.659202441348830e+02, 4.870866425333752e-02, 2.648040212363638e+05, 1.014302332128983e+05, 2.882360679654510e+02, 3.976737682504075e-01, 9.272955914343857e-03
5, -1.250000000000000e+01, -1.000000000000000e+01, 1.225968402933395e+00, 1.658827342914392e+02, 5.398838893016315e-02, 2.648202605495303e+05, 1.014390677348734e+05, 2.882413726733099e+02, 3.975529013592607e-01, 1.005143763643852e-02
6, -1.041667000000000e+01, -1.000000000000000e+01, 1.225894527978453e+00, 1.658290818330132e+02, 5.140181230395055e-02, 2.647927421840034e+05, 1.014306934520812e+05, 2.882349455529159e+02, 3.974526972399128e-01, 9.313511339152267e-03
7, -8.333333000000000e+00, -1.000000000000000e+01, 1.225976485958022e+00, 1.658017457629998e+02, 6.864963131700125e-02, 2.648095267232484e+05, 1.014391857514322e+05, 2.882398076044052e+02, 3.973572770087193e-01, 1.006183703713203e-02
8, -6.250000000000000e+00, -1.000000000000000e+01, 1.225943249401869e+00, 1.656420953482288e+02, 6.007395384760726e-02, 2.647805033902702e+05, 1.014360875761891e+05, 2.882388183612200e+02, 3.969860975874299e-01, 9.788831570009246e-03
9, -4.166667000000000e+00, -1.000000000000000e+01, 1.225975391593192e+00, 1.656002893931650e+02, 7.319198140943822e-02, 2.647853229314811e+05, 1.014403915442166e+05, 2.882434911687249e+02, 3.968722936500756e-01, 1.016808926514654e-02
10, -2.083333000000000e+00, -1.000000000000000e+01, 1.225908122753816e+00, 1.655514828929446e+02, 7.106116819256578e-02, 2.647638434336442e+05, 1.014341911071198e+05, 2.882416883091579e+02, 3.967783352442207e-01, 9.621718226341327e-03
11, 0.000000000000000e+00, -1.000000000000000e+01, 1.225834884626722e+00, 1.657008244281313e+02, 4.229112806002747e-02, 2.647607696870083e+05, 1.014246238082069e+05, 2.882317208008123e+02, 3.971668336961553e-01, 8.778665556983711e-03
12, 2.083333000000000e+00, -1.000000000000000e+01, 1.226015767272580e+00, 1.657768739039885e+02, 4.672286966907396e-02, 2.648213206702648e+05, 1.014453927590835e+05, 2.882482091244450e+02, 3.972791321326555e-01, 1.060878706103632e-02
13, 4.166667000000000e+00, -1.000000000000000e+01, 1.225618325253986e+00, 1.660498893757429e+02, 4.855235104816150e-02, 2.647460734427829e+05, 1.013990566848333e+05, 2.882099793067873e+02, 3.980888475648695e-01, 6.525737974810555e-03
14, 6.250000000000000e+00, -1.000000000000000e+01, 1.225373801841024e+00, 1.663292774181287e+02, 3.159822611339563e-02, 2.647154626527713e+05, 1.013707580977901e+05, 2.881870415400651e+02, 3.988540884510929e-01, 4.032118870508598e-03
15, 8.333333000000000e+00, -1.000000000000000e+01, 1.225042204247049e+00, 1.665252271199789e+02, 1.293528950698573e-02, 2.646603388627189e+05, 1.013368382260982e+05, 2.881685918109228e+02, 3.994448421643953e-01, 1.043162569013156e-03
16, 1.041667000000000e+01, -1.000000000000000e+01, 1.224946898562617e+00, 1.667783226533715e+02, -2.507117324666123e-02, 2.646617341306981e+05, 1.013232707435352e+05, 2.881524280066261e+02, 4.000942936320588e-01, -1.523788784983351e-04
17, 1.250000000000000e+01, -1.000000000000000e+01, 1.224755853552607e+00, 1.670170084322942e+02, -2.648588231861777e-02, 2.646392889771074e+05, 1.013005739720033e+05, 2.881328185755637e+02, 4.007430259247642e-01, -2.152376369950129e-03
