"PointID","x","y","z","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Momentum_z","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
3799, 0.000000000000000e+00, 5.000000000000000e-01, 0.000000000000000e+00, 4.370799573877387e-03, -4.784615635844970e-03, -7.331587465389085e-03, -4.486235307539727e-03, 3.084243916238848e-03, -5.186762301615184e-02, 7.553717661334400e-02, 4.774705468098104e-02, -8.926733832519186e-02
3800, 0.000000000000000e+00, 4.791666999999999e-01, 0.000000000000000e+00, 1.453068263337240e-03, 3.701228691763294e-03, -3.142568614634010e-03, -2.120985449302426e-03, 2.884261107333378e-03, 4.181751629981357e-02, 6.184410062261709e-03, 3.355530871464689e-03, 4.181751629981357e-02
3801, 0.000000000000000e+00, 4.571112303811620e-01, 0.000000000000000e+00, 4.688661448064611e-04, 1.424693191993523e-03, -7.368520873375062e-04, -1.011953689032864e-04, 1.505523508620834e-03, 8.716041541187939e-03, 1.509663694110801e-03, -2.053005825325610e-02, 8.716041541187939e-03
3802, 0.000000000000000e+00, 4.338231128838226e-01, 0.000000000000000e+00, 1.542010952832888e-04, 8.249799288489597e-04, -2.572167931616995e-04, -2.149970613647319e-03, 1.764101541063850e-03, -3.035733452297508e-03, 1.522520340295619e-03, -3.730077164832542e-02, -3.035733452297508e-03
3803, 0.000000000000000e+00, 4.093015212281905e-01, 0.000000000000000e+00, 3.918716240130886e-04, 1.305303549581400e-03, -1.126303055943852e-03, -9.510147906715822e-04, 1.870407800843449e-03, 2.986279767522152e-05, -6.220758238634615e-04, -5.288979698698014e-02, 2.986279767522152e-05
3804, 0.000000000000000e+00, 3.835563692714605e-01, 0.000000000000000e+00, 3.112490628391178e-04, 9.021097106082219e-04, -3.943943140999478e-04, -3.912826991425280e-03, 2.134141615105346e-03, 8.883426970928761e-03, 5.263925085398887e-04, -6.725103039536463e-02, 8.883426970928761e-03
3805, 0.000000000000000e+00, 3.566092932562102e-01, 0.000000000000000e+00, 4.623574566596809e-04, 1.343958863581269e-03, -2.384650471979814e-03, -3.638976897667275e-03, 2.473044373435324e-03, -1.139100989213456e-02, -2.959416944843635e-03, -7.147258646101291e-02, -1.139100989213456e-02
3806, 0.000000000000000e+00, 3.284944802692036e-01, 0.000000000000000e+00, 9.685548145893360e-04, 5.717383522831064e-03, -1.149569060218614e-03, -6.450549663115148e-03, 5.651876687586116e-03, -1.551406455570946e-02, -1.435033331687691e-03, -8.200720829909003e-02, -1.551406455570946e-02
3807, 0.000000000000000e+00, 2.992592939557557e-01, 0.000000000000000e+00, 3.565849510435482e-04, 1.476694976780824e-03, -2.083922714888124e-04, -3.913277106780200e-03, 2.515154986322811e-03, -7.854494933774245e-03, -3.727646263589294e-04, -9.656418833907587e-02, -7.854494933774245e-03
3808, 0.000000000000000e+00, 2.689646500980838e-01, 0.000000000000000e+00, 8.078239850525436e-04, 4.785907520382902e-03, -1.413732887306406e-03, -5.197222190733730e-03, 4.631450769213668e-03, -1.691399994085838e-02, -1.312782785398386e-03, -1.079278147694257e-01, -1.691399994085838e-02
3809, 0.000000000000000e+00, 2.376850992668045e-01, 0.000000000000000e+00, 7.277150176133900e-04, 3.725325247031597e-03, 1.664161425598523e-03, -5.668161600425278e-03, 4.414726957055615e-03, -5.484482097874692e-03, 3.679837906698295e-03, -1.118580227197493e-01, -5.484482097874692e-03
3810, 0.000000000000000e+00, 2.055085816018747e-01, 0.000000000000000e+00, 4.081965085562493e-04, 1.258416695586606e-03, -1.508923047695925e-03, -4.498584715083579e-03, 2.898267601984450e-03, -6.071169142889079e-03, -2.239909687307886e-03, -1.231485369608381e-01, -6.071169142889079e-03
3811, 0.000000000000000e+00, 1.725358298256234e-01, 0.000000000000000e+00, 6.705809258250454e-04, 3.681673692551285e-03, -9.217369823918409e-04, -6.459000084239031e-03, 4.924964609472568e-03, -1.240000088840231e-02, -2.052244721693162e-04, -1.272243407314233e-01, -1.240000088840231e-02
3812, 0.000000000000000e+00, 1.388794104866804e-01, 0.000000000000000e+00, 5.867221508055224e-04, 3.236062146315642e-03, -4.460996625691245e-04, -5.984240078463212e-03, 4.382098330865177e-03, -1.141043697956918e-02, -5.581216457334901e-04, -1.342631480284867e-01, -1.141043697956918e-02
3813, 0.000000000000000e+00, 1.046624095118371e-01, 0.000000000000000e+00, 7.279182709466179e-04, 4.417001187878151e-03, 4.160281287615907e-04, -6.750550048491738e-03, 5.291017594780309e-03, -1.136123204604634e-02, 1.097343066052042e-03, -1.462958251161056e-01, -1.136123204604634e-02
3814, 0.000000000000000e+00, 7.001678543988543e-02, 0.000000000000000e+00, 5.722802457184832e-04, 2.196181675236750e-03, 7.743627646683723e-04, -5.879196526757942e-03, 3.912280075134169e-03, -8.286020616702991e-04, 1.624151519347308e-04, -1.398816427647011e-01, -8.286020616702990e-04
