"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
3799, 0.000000000000000e+00, 5.000000000000000e-01, 0.000000000000000e+00, 9.665302709490652e-01, 2.811042262836653e-01, 4.455000473136526e-01, 3.307459999588707e-02, 2.606642834600840e+00, 9.850109709152282e-01, 1.019120663389069e+00, 4.571783468883099e-01, -2.379210965836802e-01
3800, 0.000000000000000e+00, 4.791666999999999e-01, 0.000000000000000e+00, 1.066690315645253e+00, -4.742250688400165e-02, 3.634071162620869e-01, 1.336972203570667e-02, 2.874860888538493e+00, 1.124727594036056e+00, 1.054408742199648e+00, 2.829710221877057e-01, 1.979803079937397e+00
3801, 0.000000000000000e+00, 4.571112303811620e-01, 0.000000000000000e+00, 1.105737612257726e+00, -1.727517930970346e-02, 2.810711323832471e-01, 4.668226865175835e-02, 2.989175438127394e+00, 1.180932746301698e+00, 1.068004500534658e+00, 2.111150837034707e-01, 2.871948353995213e+00
3802, 0.000000000000000e+00, 4.338231128838226e-01, 0.000000000000000e+00, 1.120193587692640e+00, -1.994170433090602e-02, 2.342689336664562e-01, 2.098616271568597e-02, 3.040222975288200e+00, 1.206140905374043e+00, 1.076725414808378e+00, 1.716311311271410e-01, 3.272077863080046e+00
3803, 0.000000000000000e+00, 4.093015212281905e-01, 0.000000000000000e+00, 1.159976475642935e+00, -2.347257208026369e-02, 1.615968968914797e-01, 3.930703752506230e-02, 3.167583792465855e+00, 1.262169700776900e+00, 1.088099394496189e+00, 1.173142279890530e-01, 4.161423821855560e+00
3804, 0.000000000000000e+00, 3.835563692714605e-01, 0.000000000000000e+00, 1.165542403791433e+00, -2.268084692065180e-02, 1.453756294575824e-01, 2.548933069250819e-02, 3.201917324091482e+00, 1.276940693823319e+00, 1.095576351121602e+00, 1.034478542505945e-01, 4.395884028941570e+00
3805, 0.000000000000000e+00, 3.566092932562102e-01, 0.000000000000000e+00, 1.156160850848433e+00, -2.212194776976611e-02, 1.391278158606087e-01, 1.464019286390987e-02, 3.191716162579249e+00, 1.273216313806350e+00, 1.101244963338810e+00, 9.866067618885978e-02, 4.336766885815080e+00
3806, 0.000000000000000e+00, 3.284944802692036e-01, 0.000000000000000e+00, 1.201922500840940e+00, -3.262354162613235e-02, 1.085088560490355e-01, 3.739459640227542e-02, 3.343848731885321e+00, 1.335170484246603e+00, 1.110862375329886e+00, 7.960419097863004e-02, 5.320166416612742e+00
3807, 0.000000000000000e+00, 2.992592939557557e-01, 0.000000000000000e+00, 1.191146140594111e+00, -3.020784485771087e-02, 9.024753969982026e-02, 2.840150551584390e-02, 3.338322206541769e+00, 1.333672699971736e+00, 1.119654973072017e+00, 6.659635632697208e-02, 5.296392063043429e+00
3808, 0.000000000000000e+00, 2.689646500980838e-01, 0.000000000000000e+00, 1.209086648159353e+00, -3.292579130078165e-02, 7.737497555479220e-02, 3.635491194110749e-02, 3.399843238490104e+00, 1.358549028606410e+00, 1.123615938257684e+00, 6.041152422919022e-02, 5.691254422323966e+00
3809, 0.000000000000000e+00, 2.376850992668045e-01, 0.000000000000000e+00, 1.229320380369852e+00, -3.012838928930110e-02, 5.357680217685494e-02, 3.661567682772587e-02, 3.460133353830247e+00, 1.383220539693951e+00, 1.125191253461362e+00, 4.637096215998457e-02, 6.082865709427804e+00
